,"Менеджер: 
Email: 
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кружка эмалированная 3 цвета основы на каждый цвет свое изображение,"Размер: диаметр 9 см, высота 10 см; материал: металл
Орнамент пустить по верхнему краю кружки; 
Принт избушки размещаем под орнаментом слева от ручки
Надпись: Баба Яга пишем снизу под избушкой
Упаковка: Бабу- Ягу размещаем на упаковке с лицевой стороны.
","Материал:  фаянс
Размер:  высота 9, диаметр 9,6
Упаковка:  белая коробка 
Примечание от фабрики:  выкрас кружки от 1000шт,  "," Дизайн: белая кружка, принт избушки  или баба-яга, принт на белой коробке ",150,"9,8","969,9",40-45 ,"11,4","1110,2",30-35,10 501,7-10,18-20,
,,,,,,,,,,,,,,,
 ,Кружка эмалированная 3 цвета основы на каждый цвет свое изображение,"Размер: диаметр 9 см, высота 10 см; материал: металл; 
Орнамент пустить по верхнему краю кружки;
Принт щита размещаем слева от ручки, сверху и снизу щита, делаем надпись. 
Упаковка: Меч размещаем на упаковке с лицевой стороны.
Орнамент (красная полоса) размещаем по периметру коробки.","Материал:  фаянс
Размер:  высота 9, диаметр 9,6
Упаковка:  белая коробка 
Примечание от фабрики:  выкрас кружки от 1000шт,  выкрас коробки "," Дизайн: белая кружка, принт щит , принт на белой коробке ",150,"9,8","969,9",40-45 ,"11,4","1110,2",30-35,10 501,7-10,18-20,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.
","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.
","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,Чехол для карточек Shall Simple 7 цветов основы на каждый цвет свое изображение,"Размер: 10,2x7,6 см; Материал: искусственная кожа; покрытие софт-тач
Способ брендирования: Теснение (лого) с одной стороны
С обратной стороны надпись.
","Материал: искусственная кожа
Размер: 10,2x7,6 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн:  Теснение (лого) с одной стороны
С обратной стороны надпись",150,"2,53","227,6",50-55,"2,6","240,0",40-45,5 838,5,15-17,
,,,,,,,,,,,,,,,
 ,"Подарочный набор Taiga, белый","Размер: термостакан: 14,4x7,5x7,4 см; чай: 8х4,5х18 см; коробка: 21,3х16,5х7,8 см; материал: пластик; картон; вес: 695г
Нанесение: 
- на стакан полная запечатка, на макете меняем надпись ____________
- на чай (приворотное зелье)
- на упаковку 
","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,150,,,,,,,,,10-12,
,,,,,,,,,,,,,,,
 ,"Подарочный набор Taiga, красный","Размеры: термостакан: 14,4x7,5x7,4 см; чай: 8х4,5х18 см; коробка: 21,3х16,5х7,8 см, материал: пластик; картон, вес: 695г
Нанесение:
- на стакан полная запечатка 
- на чай полная запечатка
- На заднюю часть упаковки, напечатать стихотворение.
- на упаковку по периметру коробки орнамент","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,150,,,,,,,,,10-12,
