product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
662,491,[Просчет-РФ] Награды,Дизайн: из наличия,7,2,8,DELETE
664,491,[Просчет-РФ] Награды,Дизайн: из наличия,9,3,8,DELETE
667,491,[Просчет-РФ] Награды,Дизайн: из наличия,12,4,8,DELETE
669,491,[Просчет-РФ] Награды,Дизайн: из наличия,14,5,8,DELETE
671,491,[Просчет-РФ] Награды,Дизайн: из наличия,16,6,8,DELETE
673,491,[Просчет-РФ] Награды,Дизайн: из наличия,18,7,8,DELETE
674,491,[Просчет-РФ] Награды,Дизайн: из наличия,20,8,8,DELETE
752,516,[Просчет-РФ] Ольга TooManyGifts / Подушки Ящики 3000 шт. / ТМГ 04-06-2025,Подушка,11,1,2,KEEP
753,516,[Просчет-РФ] Ольга TooManyGifts / Подушки Ящики 3000 шт. / ТМГ 04-06-2025,Подушка,12,2,2,DELETE
778,520,[Просчет-РФ] Оптовый заказ,Таблетница,8,1,2,KEEP
779,520,[Просчет-РФ] Оптовый заказ,Таблетница,10,2,2,DELETE
807,533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,Антистресс,4,1,2,KEEP
808,533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,Антистресс,5,2,2,DELETE
812,533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,Антистресс,9,1,2,KEEP
813,533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,Антистресс,10,2,2,DELETE
913,547,[Просчет-РФ] Ручки и Шоппер,Дизайн: по макету,28,1,2,KEEP
915,547,[Просчет-РФ] Ручки и Шоппер,Дизайн: по макету,34,2,2,DELETE
922,550,[Просчет-РФ] Рюкзаки 700,Дизайн: жаккардовая бирка,6,1,4,KEEP
925,550,[Просчет-РФ] Рюкзаки 700,Дизайн: жаккардовая бирка,9,2,4,DELETE
928,550,[Просчет-РФ] Рюкзаки 700,Дизайн: жаккардовая бирка,12,3,4,DELETE
932,550,[Просчет-РФ] Рюкзаки 700,Дизайн: жаккардовая бирка,16,4,4,DELETE
921,550,[Просчет-РФ] Рюкзаки 700,Дизайн: металлическая бирка,5,1,4,KEEP
924,550,[Просчет-РФ] Рюкзаки 700,Дизайн: металлическая бирка,8,2,4,DELETE
927,550,[Просчет-РФ] Рюкзаки 700,Дизайн: металлическая бирка,11,3,4,DELETE
931,550,[Просчет-РФ] Рюкзаки 700,Дизайн: металлическая бирка,15,4,4,DELETE
947,553,[Просчет-РФ] Сабина Яндекс / Плед,Дизайн: односторонняя печать по макету клиента,18,1,2,KEEP
949,553,[Просчет-РФ] Сабина Яндекс / Плед,Дизайн: односторонняя печать по макету клиента,20,1,2,KEEP
951,553,[Просчет-РФ] Сабина Яндекс / Плед,Дизайн: односторонняя печать по макету клиента,23,2,2,DELETE
953,553,[Просчет-РФ] Сабина Яндекс / Плед,Дизайн: односторонняя печать по макету клиента,25,2,2,DELETE
999,567,[Просчет] Кирилл Вихров / Биваны_2000/3000шт_Всемирный фестиваль молодежи_КГИ_ММ 20-05-2025,Дизайн: сток,7,1,2,KEEP
1005,567,[Просчет] Кирилл Вихров / Биваны_2000/3000шт_Всемирный фестиваль молодежи_КГИ_ММ 20-05-2025,Дизайн: сток,13,2,2,DELETE
1068,585,[Просчет] Мария Княгинина / фарфор ГПБ 15-05-2025,Елочная игрушка,11,1,2,KEEP
1069,585,[Просчет] Мария Княгинина / фарфор ГПБ 15-05-2025,Елочная игрушка,15,2,2,DELETE
