Все кандидаты на Шаблон 6 (заголовки в строке 2)
Всего файлов: 647

 1133 |  35 cols | 1001 rows | project_1133_1cd5P0AxSw4foqbezDWtXq9FIQfye4-_mQV5p18FDPUg.xlsx
 1145 |  27 cols | 1000 rows | project_1145_18xWrRpI7BaqoAbXauKvei0qthwYoy9NMAbl8RGfvj_Q.xlsx
 1151 |  30 cols | 1005 rows | project_1151_1E6ROoDOtJZqonv57DizwJT2puJtCo9XGIDPXyxUQ7dQ.xlsx
 1163 |  35 cols | 1068 rows | project_1163_14O8jnhADDZpZwA2UTGqpvDzXrKo6WTqpzYjo2ToBl6g.xlsx
 1181 |  37 cols | 1006 rows | project_1181_1vpBJcECkmjvRsFpndg4ej0DcLxrhC9PkfS21w4z2FOE.xlsx
 1182 |  31 cols |  999 rows | project_1182_13KR0hnsWgFWF34Ou9nki4UI70qt2B6oaRpXCp0aQKLI.xlsx
 1184 |  25 cols | 1001 rows | project_1184_1DPQ_oFjskbuF-cGg-4_ko4QpLzAs673qvm1rPMwKU_0.xlsx
 1188 |  36 cols | 1001 rows | project_1188_1Q8TDrSB_BLD6ajh1kl_zx0zSP8HUBqFb_5j3ot7vYYU.xlsx
 1191 |  29 cols | 1001 rows | project_1191_1KH2kao-cvZehkbtT3-Ek9B4B8bcVun0cHFOIBNcd1jA.xlsx
 1194 |  25 cols | 1001 rows | project_1194_1JxqL50DSqrK-qgRwe_3X8NRtqIz1pZ1DqehonU1FzqM.xlsx
 1195 |  30 cols | 1000 rows | project_1195_1oGQSNUq_kSjZWjK8cKRgY1ENVCwv6BLoGpYJKJwKZSQ.xlsx
 1216 |  32 cols | 1005 rows | project_1216_1oM4AZw_Ope1ns5VYIs-BWzJsmpkDgBmHDf-iM8iQXk4.xlsx
 1218 |  25 cols | 1001 rows | project_1218_1tBsPOwCkilD1zfpDn52Vil54TVdopG0d6jgywgU60ow.xlsx
 1223 |  31 cols | 1001 rows | project_1223_1qgJ9pfulQIZuej7CO1Gq1r_XtQqSw0kdrMNiSq-FvfE.xlsx
 1228 |  32 cols | 1001 rows | project_1228_109mK1bSiHaXdk49yP0-dTIls_x27QLiiUlcQX3MeznI.xlsx
 1234 |  32 cols | 1000 rows | project_1234_11CdcMGGU58CF5bQbWCxQpwmxSALyhPLx2pZf3neD_dg.xlsx
 1240 |  27 cols | 1001 rows | project_1240_1iArFzHJn1JZ_Z2rUDp3mrcwSBsOwyYr5Z3BovWHqSXM.xlsx
 1246 |  29 cols | 1001 rows | project_1246_1ryNpTl7-FXVYPE-u3qRLLJpZyFDtGVdcSOE3nRFIm74.xlsx
 1259 |  25 cols | 1001 rows | project_1259_1fdy13yMXF0iwWSvSjPx1VxbTsf1q1ONIx9xWfGBjvss.xlsx
 1263 |  30 cols | 1003 rows | project_1263_1f5oi0i9G25W9FeX4qyP0RSS-ij_PDDiZ-4txabwBZcE.xlsx
 1276 |  37 cols | 1002 rows | project_1276_1agCyXOkfhZSD7HdTHLYTYWQcW_1JMq-FWBp6MAFdeGo.xlsx
 1280 |  31 cols |  999 rows | project_1280_135O3SAnHX5hTMjJ6h6xUyH8b94cSby7MB5C8rz7zc2g.xlsx
 1287 |  30 cols | 1001 rows | project_1287_1VgjFDtK3_BiJ3VfPbYeByf-2kueMGZMGBvYSDL3T-LQ.xlsx
 1294 |  27 cols |  994 rows | project_1294_1GdyXPviQoSotWV7kqbfqn0TmrLqS0WxiJZU5J1QfjWo.xlsx
 1315 |  27 cols | 1001 rows | project_1315_1Z3wKqXJMIe1BNT_sEr92ML3rTZa4tRhDPz4dCiv-QLE.xlsx
 1316 |  29 cols | 1005 rows | project_1316_1JUJQLh81Vqk7T3iVjMTH_dwuSOlmu5OUkUn2Scri-FQ.xlsx
 1327 |  25 cols | 1001 rows | project_1327_1y0vrAn2sMzd6aFALlhjOtQStNa_GXgm4n9_kmFbhY-A.xlsx
 1344 |  26 cols |  997 rows | project_1344_1Z0AKYxzzGYdW9f8RciJV7WTAIfv8zX2OzAd2r3I9Tak.xlsx
 1347 |  24 cols | 1010 rows | project_1347_11d8r9QhmietasvUiPGUio1jkAcncbPEZGGzGdPqIIVw.xlsx
 1348 |  31 cols | 1003 rows | project_1348_1ZGDlzQ2fZGPrghh-jCg7chuo5LWPH4n-2Z2zzQac8-Y.xlsx
 1349 |  25 cols | 1001 rows | project_1349_1F66Cy8TeYfXGp_6jdG8uHHpmjo_oouzDyrHWrjFYu9c.xlsx
 1387 |  30 cols | 1007 rows | project_1387_15-qMyyGZNdooDNU46KI7O1DoEt1d2aWoiN0JxX6PJUc.xlsx
 1391 |  28 cols | 1000 rows | project_1391_1f11vnhMFMhZDz_4mqYSc7S5k5c1dE5HU.xlsx
 1393 |  28 cols | 1003 rows | project_1393_1gX1Z9neLkOAtTpbk0-iaJ75h2iQ7WgD222hrbeYeW-4.xlsx
 1396 |  30 cols | 1003 rows | project_1396_1yrJXojLSlOGAzFpawwLg34gB80xQZlcAU0mW8m6h8AE.xlsx
 1397 |  26 cols |  998 rows | project_1397_1PXgK1w21XTderAcc28t9ztou51gV8l5J7814nx7r1eA.xlsx
 1400 |  30 cols | 1001 rows | project_1400_1BFzmPIo-1YAuZoIa_DjWb5jVJ7IxGgK4br_b3ZsWQsw.xlsx
 1402 |  30 cols | 1001 rows | project_1402_1MOAnxKieRRe-qNMeODoMwMnBU7rExAYauLdz1z--VK4.xlsx
 1405 |  30 cols | 1000 rows | project_1405_1fSOi54HHS4nRM5PRmw7JIz8NYPaNHE6vq6TLrtr5Kv8.xlsx
 1410 |  29 cols | 1001 rows | project_1410_1IxhDpcvANJN1mSHf110QzyycMPd3O_WpKxp071MlFpQ.xlsx
 1419 |  27 cols | 1000 rows | project_1419_1wIHWwgVjhe5NNCxeC7UfnCIItWcwo_jsrM7UjbE2GEU.xlsx
 1420 |  30 cols | 1000 rows | project_1420_1mhouVB0bYPtZNp3388xWUPXghQjfl0MifNtMLJjbRXE.xlsx
 1422 |  25 cols | 1000 rows | project_1422_1zVcs13_5GG8lLPSjJtit5vmDD1-1bzoAwwAP8eeautE.xlsx
 1424 |  30 cols | 1001 rows | project_1424_1qGZ4A7xbBbvaxC46u0tHTbVtOsxNVxk6xIaNgYXA-3Q.xlsx
 1440 |  30 cols | 1001 rows | project_1440_1-M-RvW-UaR9CFoW2DAKs3rfIlzTFKLFq8Sh8DzPDxHs.xlsx
 1451 |  31 cols | 1001 rows | project_1451_1KAvBHse6JlvNVIwpMl90RwTM_wlVnQ_utAC3xKmnXBM.xlsx
 1454 |  30 cols | 1000 rows | project_1454_1sprBjY7sNACAsSTbCW3Wd55P34pkR9ojSLKnHmN25rQ.xlsx
 1463 |  29 cols | 1001 rows | project_1463_1qdLyH-gqGzykE4dW7XYyL4GhLQ8yfN4nARApmmzN2wQ.xlsx
 1467 |  30 cols | 1001 rows | project_1467_1L0t4DEa0YMMxRqDtCTpcVrr6qXsZH5yBUmRbpwkXBXI.xlsx
 1468 |  27 cols | 1001 rows | project_1468_1njfHA4S9aShT4ufr6-j8ZnU3kwi2AjVDK01XQep11ps.xlsx
 1469 |  27 cols | 1001 rows | project_1469_1zw8DQiCftqk8RR26Cf8al3omq7U9KtqwAjM21kerrxc.xlsx
 1470 |  27 cols | 1001 rows | project_1470_1zxR7yOpG_hJw5OVu0bGuOh55U9oqNa716irMHaNbh6I.xlsx
 1471 |  30 cols | 1001 rows | project_1471_1Ec6yDR-IlLtlBasflSIX9PKcfE015mGY8SjUXgmJhcU.xlsx
 1472 |  30 cols | 1001 rows | project_1472_1yCXZutYAhdMebyEPtU_8N_woAA-0ki7_ky-Oms3cQ1U.xlsx
 1473 |  30 cols | 1001 rows | project_1473_1sQjrTWNiymeOYkXNmR_tdjmHFSbQe1BmO1vvzcufB2U.xlsx
 1474 |  27 cols | 1001 rows | project_1474_1f4H6Had08l_wpEWd0qClA18IsdijFugUZq7Hzd_PNu8.xlsx
 1475 |  34 cols |  908 rows | project_1475_1DQjlv1O8Hs3SXnBEmclLvC9zDF6LK5619IBQMpDYlFM.xlsx
 1476 |  24 cols | 1000 rows | project_1476_1PdZ0Zc2r5ICIm9Ll6qPrTbt1Md2Y3siiashIdB3c1F4.xlsx
 1477 |  29 cols | 1005 rows | project_1477_1Z6FotSWleXmMenBpfn6NGkKxwhbYGy7tKft_DQL8NlM.xlsx
 1478 |  30 cols | 1001 rows | project_1478_1RzvFOVR3-JCbNjpLQnxtGZgl68cvuBPw4I2qXZRWMJk.xlsx
 1480 |  30 cols | 1001 rows | project_1480_1JdoNYeiAyZF5OQKNyC9bicmC1SbgWfuxeJWDHQG2LN4.xlsx
 1481 |  27 cols | 1002 rows | project_1481_1g_U4Qi1wx8IiN0aWd2krWJqev-moITBy3xrBaN5j_oc.xlsx
 1482 |  27 cols | 1001 rows | project_1482_1SJ-cx9m1W6S1JaE2f5CSMZRDNsKmbxn462qdvKxebm4.xlsx
 1484 |  27 cols | 1001 rows | project_1484_1vo0NoGSXn8hOxW92COzZ0laX5ufc5hHQZ_cpP35zE70.xlsx
