 ,Материал,Ставка ЖД,Ставка АВИА,Код ТНВЭД,Родитель,Медиана цены (₽),Медиана цены (¥),Средний тираж,Плотность (кг/м³),Транспорт ($/кг),Диапазон цен (₽),Диапазон цен (¥),Диапазон плотности,Диапазон тиражей,Диапазон транспорта
лампа,"пластик, металл","5,1","7,2",9405210013,,1369,33.0,1500,154.4,$6.8,542 - 3501 ₽,10.0 - 88.0 ¥,78.5 - 254.5,371 - 5259,$5.0 - $11.4
└─ лампа_ночная,"пластик, металл","5,1","7,2",9405210013,лампа,1422,31.0,1128,136.3,$7.0,561 - 3217 ₽,11.9 - 75.1 ¥,77.8 - 207.9,378 - 7500,$5.0 - $13.0
игрушка,"плюш, синтепон","4,7","6,9",9503004100,,440,9.5,1500,165.1,$6.5,134 - 1525 ₽,2.5 - 35.7 ¥,62.1 - 302.3,450 - 12750,$5.0 - $10.2
кабель,"нейлон, акрил, резина
фурнитура - металл, пластик","5,6","7,7",8544429007,,465,13.0,1500,258.6,$7.0,158 - 1200 ₽,3.6 - 37 ¥,154.7 - 406.9,457 - 5000,$5.4 - $10.0
брелок,"сталь,смола, железо, пвх","9,1","11,2",7117900000,,163,4.0,3000,291.7,$10.1,69 - 450 ₽,1.5 - 13.0 ¥,60 - 324,1000 - 15000,$8.1 - $13.1
чехол,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам","6,1","8,2",4202929800,,626,16.0,1500,215.5,$7.4,177 - 2206 ₽,4.3 - 47.9 ¥,55 - 200,500 - 4770,$6.0 - $11.2
чехол,кожа,11,"13,1",4202911000,,626,16.0,1500,215.5,$7.4,177 - 2206 ₽,4.3 - 47.9 ¥,55 - 200,500 - 4770,$6.0 - $11.2
рюкзак,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам","6,1","8,2",4202929100,,2001,40.5,1350,125.0,$7.6,550 - 3567 ₽,13.9 - 89.0 ¥,71.9 - 194.5,375 - 4675,$6.0 - $9.9
рюкзак,кожа,11,"13,1",4202911000,,2001,40.5,1350,125.0,$7.6,550 - 3567 ₽,13.9 - 89.0 ¥,71.9 - 194.5,375 - 4675,$6.0 - $9.9
аккумулятор,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор
Пластик, металл
Литий-полимерная батарея","5,4", ,8507800009,,1787,48.0,1500,424.3,$6.5,670 - 3090 ₽,19.8 - 93.1 ¥,200 - 500,450 - 4500,$5.3 - $7.8
аккумулятор (док станции),"Докстанция, док станция, беспроводная зарядка, мультизарядка
Пластик, металл","4,8","6,9",8504405500,,1787,48.0,1500,424.3,$6.5,670 - 3090 ₽,19.8 - 93.1 ¥,150 - 500,450 - 4500,$5.3 - $7.8
косметичка,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам","6,1","8,2",4202929100,,612,13.5,1500,170.1,$7.2,149 - 994 ₽,3.1 - 27.6 ¥,83.2 - 281.0,500 - 15000,$6.0 - $8.2
косметичка,кожа,11,"13,1",4202911000,,612,13.5,1500,170.1,$7.2,149 - 994 ₽,3.1 - 27.6 ¥,83.2 - 281.0,500 - 15000,$6.0 - $8.2
колонка,,13,"15,1",8519814500,,1477,41.1,1500,266.6,$11.4,600 - 3570 ₽,13.0 - 81.7 ¥,167.0 - 379.1,283 - 5250,$7.0 - $14.0
